巴,3,3,627,N,nationname,*,*,*,*,巴,*,*
巴貝多,3,3,627,N,nationname,*,*,*,*,巴貝多,*,*
巴比倫,3,3,627,N,nationname,*,*,*,*,巴比倫,*,*
巴布亞紐幾內亞,3,3,627,N,nationname,*,*,*,*,巴布亞紐幾內亞,*,*
巴拿馬,3,3,627,N,nationname,*,*,*,*,巴拿馬,*,*
巴拿馬共和國,3,3,627,N,nationname,*,*,*,*,巴拿馬共和國,*,*
巴拉圭,3,3,627,N,nationname,*,*,*,*,巴拉圭,*,*
巴拉圭共和國,3,3,627,N,nationname,*,*,*,*,巴拉圭共和國,*,*
巴林,3,3,627,N,nationname,*,*,*,*,巴林,*,*
巴哈馬,3,3,627,N,nationname,*,*,*,*,巴哈馬,*,*
巴基斯坦,3,3,627,N,nationname,*,*,*,*,巴基斯坦,*,*
巴基斯坦伊斯蘭共和國,3,3,627,N,nationname,*,*,*,*,巴基斯坦伊斯蘭共和國,*,*
巴西,3,3,627,N,nationname,*,*,*,*,巴西,*,*
巴西聯邦共和國,3,3,627,N,nationname,*,*,*,*,巴西聯邦共和國,*,*
巴什吉爾,3,3,627,N,nationname,*,*,*,*,巴什吉爾,*,*
巴什吉爾自治共和國,3,3,627,N,nationname,*,*,*,*,巴什吉爾自治共和國,*,*
波布那,3,3,627,N,nationname,*,*,*,*,波布那,*,*
波布那共和國,3,3,627,N,nationname,*,*,*,*,波布那共和國,*,*
波蘭,3,3,627,N,nationname,*,*,*,*,波蘭,*,*
波蘭共和國,3,3,627,N,nationname,*,*,*,*,波蘭共和國,*,*
波札那,3,3,627,N,nationname,*,*,*,*,波札那,*,*
波札那共和國,3,3,627,N,nationname,*,*,*,*,波札那共和國,*,*
波斯,3,3,627,N,nationname,*,*,*,*,波斯,*,*
波斯帝國,3,3,627,N,nationname,*,*,*,*,波斯帝國,*,*
波斯國,3,3,627,N,nationname,*,*,*,*,波斯國,*,*
玻利維亞,3,3,627,N,nationname,*,*,*,*,玻利維亞,*,*
玻利維亞共和國,3,3,627,N,nationname,*,*,*,*,玻利維亞共和國,*,*
伯濟國,3,3,627,N,nationname,*,*,*,*,伯濟國,*,*
帛琉共和國,3,3,627,N,nationname,*,*,*,*,帛琉共和國,*,*
勃律,3,3,627,N,nationname,*,*,*,*,勃律,*,*
渤海,3,3,627,N,nationname,*,*,*,*,渤海,*,*
渤海國,3,3,627,N,nationname,*,*,*,*,渤海國,*,*
亳,3,3,627,N,nationname,*,*,*,*,亳,*,*
白象之國,3,3,627,N,nationname,*,*,*,*,白象之國,*,*
白俄羅斯,3,3,627,N,nationname,*,*,*,*,白俄羅斯,*,*
白俄羅斯共和國,3,3,627,N,nationname,*,*,*,*,白俄羅斯共和國,*,*
百濟,3,3,298,N,nationname,*,*,*,*,百濟,*,*
北葉門,3,3,627,N,nationname,*,*,*,*,北葉門,*,*
